 ---------------------------------------------------------------------------------------------------------------------------------- 
                                          loging report for : 12/04/2010   15:16:59
 ---------------------------------------------------------------------------------------------------------------------------------- 

15:16:59  |  Platform  |  Info  |  * Initialise: DirectXRenderManager  |  ..\src\DXPlatform\DirectXRenderManager.cpp  |  18
15:16:59  |  Platform  |  Info  |  DirectXRenderManager successfully initialized  |  ..\src\DXPlatform\DirectXRenderManager.cpp  |  34
15:16:59  |  Platform  |  Info  |  * Initialise: DirectXDataManager  |  ..\src\DXPlatform\DirectXDataManager.cpp  |  58
15:16:59  |  Platform  |  Info  |  DirectXDataManager successfully initialized  |  ..\src\DXPlatform\DirectXDataManager.cpp  |  60
15:16:59  |  Core  |  Info  |  * Initialise: Gui  |  ..\src\GUI\Gui.cpp  |  59
15:16:59  |  Core  |  Info  |  * GUI version 3.0.1  |  ..\src\GUI\Gui.cpp  |  63
15:16:59  |  Core  |  Info  |  * Initialise: ResourceManager  |  ..\src\GUI\ResourceManager.cpp  |  21
15:16:59  |  Core  |  Info  |  ResourceManager successfully initialized  |  ..\src\GUI\ResourceManager.cpp  |  28
15:16:59  |  Core  |  Info  |  * Initialise: LayerManager  |  ..\src\GUI\LayerManager.cpp  |  22
15:16:59  |  Core  |  Info  |  LayerManager successfully initialized  |  ..\src\GUI\LayerManager.cpp  |  30
15:16:59  |  Core  |  Info  |  * Initialise: WidgetManager  |  ..\src\GUI\WidgetManager.cpp  |  44
15:16:59  |  Core  |  Info  |  WidgetManager successfully initialized  |  ..\src\GUI\WidgetManager.cpp  |  76
15:16:59  |  Core  |  Info  |  * Initialise: InputManager  |  ..\src\GUI\InputManager.cpp  |  19
15:16:59  |  Core  |  Info  |  InputManager successfully initialized  |  ..\src\GUI\InputManager.cpp  |  36
15:16:59  |  Core  |  Info  |  * Initialise: SubWidgetManager  |  ..\src\GUI\SubWidgetManager.cpp  |  22
15:16:59  |  Core  |  Info  |  SubWidgetManager successfully initialized  |  ..\src\GUI\SubWidgetManager.cpp  |  42
15:16:59  |  Core  |  Info  |  * Initialise: SkinManager  |  ..\src\GUI\SkinManager.cpp  |  24
15:16:59  |  Core  |  Info  |  SkinManager successfully initialized  |  ..\src\GUI\SkinManager.cpp  |  32
15:16:59  |  Core  |  Info  |  * Initialise: FontManager  |  ..\src\GUI\FontManager.cpp  |  21
15:16:59  |  Core  |  Info  |  FontManager successfully initialized  |  ..\src\GUI\FontManager.cpp  |  30
15:16:59  |  Core  |  Info  |  * Initialise: ControllerManager  |  ..\src\GUI\ControllerManager.cpp  |  19
15:16:59  |  Core  |  Info  |  ControllerManager successfully initialized  |  ..\src\GUI\ControllerManager.cpp  |  29
15:16:59  |  Core  |  Info  |  * Initialise: PointerManager  |  ..\src\GUI\PointerManager.cpp  |  29
15:16:59  |  Core  |  Info  |  PointerManager successfully initialized  |  ..\src\GUI\PointerManager.cpp  |  47
15:16:59  |  Core  |  Info  |  * Initialise: ClipboardManager  |  ..\src\GUI\ClipboardManager.cpp  |  58
15:16:59  |  Core  |  Info  |  ClipboardManager successfully initialized  |  ..\src\GUI\ClipboardManager.cpp  |  70
15:16:59  |  Core  |  Info  |  * Initialise: LayoutManager  |  ..\src\GUI\LayoutManager.cpp  |  20
15:16:59  |  Core  |  Info  |  LayoutManager successfully initialized  |  ..\src\GUI\LayoutManager.cpp  |  26
15:16:59  |  Core  |  Info  |  * Initialise: DynLibManager  |  ..\src\GUI\DynLibManager.cpp  |  12
15:16:59  |  Core  |  Info  |  DynLibManager successfully initialized  |  ..\src\GUI\DynLibManager.cpp  |  14
15:16:59  |  Core  |  Info  |  * Initialise: PluginManager  |  ..\src\GUI\PluginManager.cpp  |  14
15:16:59  |  Core  |  Info  |  PluginManager successfully initialized  |  ..\src\GUI\PluginManager.cpp  |  18
15:16:59  |  Core  |  Info  |  * Initialise: LanguageManager  |  ..\src\GUI\LanguageManager.cpp  |  18
15:16:59  |  Core  |  Info  |  LanguageManager successfully initialized  |  ..\src\GUI\LanguageManager.cpp  |  22
15:16:59  |  Core  |  Info  |  * Initialise: FactoryManager  |  ..\src\GUI\FactoryManager.cpp  |  12
15:16:59  |  Core  |  Info  |  FactoryManager successfully initialized  |  ..\src\GUI\FactoryManager.cpp  |  15
15:16:59  |  Core  |  Error  |  ResourceManager : 'core.xml', not found  |  ..\src\GUI\ResourceManager.cpp  |  149
15:16:59  |  Core  |  Info  |  Gui successfully initialized  |  ..\src\GUI\Gui.cpp  |  104
15:17:36  |  Core  |  Info  |  * Shutdown: Gui  |  ..\src\GUI\Gui.cpp  |  111
15:17:36  |  Core  |  Info  |  * Shutdown: PointerManager  |  ..\src\GUI\PointerManager.cpp  |  54
15:17:36  |  Core  |  Info  |  PointerManager successfully shutdown  |  ..\src\GUI\PointerManager.cpp  |  69
15:17:36  |  Core  |  Info  |  * Shutdown: InputManager  |  ..\src\GUI\InputManager.cpp  |  43
15:17:36  |  Core  |  Info  |  InputManager successfully shutdown  |  ..\src\GUI\InputManager.cpp  |  48
15:17:36  |  Core  |  Info  |  * Shutdown: SkinManager  |  ..\src\GUI\SkinManager.cpp  |  39
15:17:36  |  Core  |  Info  |  SkinManager successfully shutdown  |  ..\src\GUI\SkinManager.cpp  |  44
15:17:36  |  Core  |  Info  |  * Shutdown: SubWidgetManager  |  ..\src\GUI\SubWidgetManager.cpp  |  49
15:17:36  |  Core  |  Info  |  SubWidgetManager successfully shutdown  |  ..\src\GUI\SubWidgetManager.cpp  |  69
15:17:36  |  Core  |  Info  |  * Shutdown: LayerManager  |  ..\src\GUI\LayerManager.cpp  |  37
15:17:36  |  Core  |  Info  |  LayerManager successfully shutdown  |  ..\src\GUI\LayerManager.cpp  |  47
15:17:36  |  Core  |  Info  |  * Shutdown: FontManager  |  ..\src\GUI\FontManager.cpp  |  37
15:17:36  |  Core  |  Info  |  FontManager successfully shutdown  |  ..\src\GUI\FontManager.cpp  |  44
15:17:36  |  Core  |  Info  |  * Shutdown: ControllerManager  |  ..\src\GUI\ControllerManager.cpp  |  36
15:17:36  |  Core  |  Info  |  ControllerManager successfully shutdown  |  ..\src\GUI\ControllerManager.cpp  |  47
15:17:36  |  Core  |  Info  |  * Shutdown: ClipboardManager  |  ..\src\GUI\ClipboardManager.cpp  |  77
15:17:36  |  Core  |  Info  |  ClipboardManager successfully shutdown  |  ..\src\GUI\ClipboardManager.cpp  |  79
15:17:36  |  Core  |  Info  |  * Shutdown: LayoutManager  |  ..\src\GUI\LayoutManager.cpp  |  33
15:17:36  |  Core  |  Info  |  LayoutManager successfully shutdown  |  ..\src\GUI\LayoutManager.cpp  |  37
15:17:36  |  Core  |  Info  |  * Shutdown: PluginManager  |  ..\src\GUI\PluginManager.cpp  |  25
15:17:36  |  Core  |  Info  |  PluginManager successfully shutdown  |  ..\src\GUI\PluginManager.cpp  |  30
15:17:36  |  Core  |  Info  |  * Shutdown: DynLibManager  |  ..\src\GUI\DynLibManager.cpp  |  21
15:17:36  |  Core  |  Info  |  DynLibManager successfully shutdown  |  ..\src\GUI\DynLibManager.cpp  |  35
15:17:36  |  Core  |  Info  |  * Shutdown: LanguageManager  |  ..\src\GUI\LanguageManager.cpp  |  29
15:17:36  |  Core  |  Info  |  LanguageManager successfully shutdown  |  ..\src\GUI\LanguageManager.cpp  |  33
15:17:36  |  Core  |  Info  |  * Shutdown: ResourceManager  |  ..\src\GUI\ResourceManager.cpp  |  35
15:17:36  |  Core  |  Info  |  ResourceManager successfully shutdown  |  ..\src\GUI\ResourceManager.cpp  |  45
15:17:36  |  Core  |  Info  |  * Shutdown: FactoryManager  |  ..\src\GUI\FactoryManager.cpp  |  22
15:17:36  |  Core  |  Info  |  FactoryManager successfully shutdown  |  ..\src\GUI\FactoryManager.cpp  |  24
15:17:36  |  Core  |  Info  |  * Shutdown: WidgetManager  |  ..\src\GUI\WidgetManager.cpp  |  83
15:17:36  |  Core  |  Info  |  WidgetManager successfully shutdown  |  ..\src\GUI\WidgetManager.cpp  |  93
15:17:36  |  Core  |  Info  |  Gui successfully shutdown  |  ..\src\GUI\Gui.cpp  |  149
15:17:36  |  Platform  |  Info  |  * Shutdown: DirectXRenderManager  |  ..\src\DXPlatform\DirectXRenderManager.cpp  |  41
15:17:36  |  Platform  |  Info  |  DirectXRenderManager successfully shutdown  |  ..\src\DXPlatform\DirectXRenderManager.cpp  |  46
15:17:36  |  Platform  |  Info  |  * Shutdown: DirectXDataManager  |  ..\src\DXPlatform\DirectXDataManager.cpp  |  67
15:17:36  |  Platform  |  Info  |  DirectXDataManager successfully shutdown  |  ..\src\DXPlatform\DirectXDataManager.cpp  |  69
